# WuchangRecon navprobe
# center 18142.33 5609.49 -1550.33  grid 41x41  step 100.0 uu  extent 100/100/500
# level ProjectMain  hits 1252/1681
x,y,z,hit,projx,projy,projz
16142.33,3609.49,-1550.33,1,16050.00,3550.00,-1665.53
16242.33,3609.49,-1550.33,1,16336.24,3604.80,-1545.53
16342.33,3609.49,-1550.33,1,16342.33,3609.49,-1545.53
16442.33,3609.49,-1550.33,1,16379.80,3634.51,-1545.53
16542.33,3609.49,-1550.33,1,16542.33,3609.49,-1840.01
16642.33,3609.49,-1550.33,1,16642.33,3609.49,-1869.71
16742.33,3609.49,-1550.33,1,16742.33,3609.49,-1861.98
16842.33,3609.49,-1550.33,1,16842.33,3609.49,-1838.86
16942.33,3609.49,-1550.33,1,16954.45,3593.34,-1065.53
17042.33,3609.49,-1550.33,1,17019.65,3639.74,-1745.53
17142.33,3609.49,-1550.33,1,17200.00,3600.00,-1865.53
17242.33,3609.49,-1550.33,1,17230.00,3620.00,-1825.53
17342.33,3609.49,-1550.33,1,17420.00,3609.49,-1625.53
17442.33,3609.49,-1550.33,1,17442.33,3609.49,-1620.24
17542.33,3609.49,-1550.33,1,17542.33,3609.49,-1595.83
17642.33,3609.49,-1550.33,1,17642.33,3609.49,-1585.53
17742.33,3609.49,-1550.33,1,17726.56,3606.58,-1585.53
17842.33,3609.49,-1550.33,1,17842.33,3600.00,-1505.53
17942.33,3609.49,-1550.33,1,17880.00,3580.00,-1505.53
18042.33,3609.49,-1550.33,0,,,
18142.33,3609.49,-1550.33,0,,,
18242.33,3609.49,-1550.33,0,,,
18342.33,3609.49,-1550.33,0,,,
18442.33,3609.49,-1550.33,0,,,
18542.33,3609.49,-1550.33,0,,,
18642.33,3609.49,-1550.33,0,,,
18742.33,3609.49,-1550.33,0,,,
18842.33,3609.49,-1550.33,1,18876.00,3624.80,-2025.53
18942.33,3609.49,-1550.33,1,18942.33,3609.49,-2036.79
19042.33,3609.49,-1550.33,1,19127.21,3585.24,-2047.30
