# WuchangRecon navprobe
# center 36460.53 -12171.59 636.01  grid 41x41  step 100.0 uu  extent 100/100/500
# level ProjectMain  hits 1217/1681
x,y,z,hit,projx,projy,projz
34460.53,-14171.59,636.01,1,34460.53,-14171.59,975.65
34560.53,-14171.59,636.01,1,34560.53,-14171.59,928.66
34660.53,-14171.59,636.01,1,34700.00,-14180.00,775.65
34760.53,-14171.59,636.01,1,34760.53,-14171.59,775.65
34860.53,-14171.59,636.01,1,34860.53,-14171.59,802.96
34960.53,-14171.59,636.01,1,34960.53,-14171.59,775.65
35060.53,-14171.59,636.01,1,35060.53,-14171.59,782.53
35160.53,-14171.59,636.01,1,35160.53,-14171.59,791.10
35260.53,-14171.59,636.01,1,35260.53,-14171.59,797.17
35360.53,-14171.59,636.01,1,35360.53,-14171.59,801.23
35460.53,-14171.59,636.01,1,35460.53,-14171.59,805.29
35560.53,-14171.59,636.01,1,35560.53,-14171.59,815.65
35660.53,-14171.59,636.01,1,35660.53,-14171.59,815.65
35760.53,-14171.59,636.01,1,35760.53,-14171.59,815.65
35860.53,-14171.59,636.01,1,35860.53,-14171.59,815.65
35960.53,-14171.59,636.01,1,35960.53,-14171.59,587.97
36060.53,-14171.59,636.01,1,36060.53,-14171.59,587.97
36160.53,-14171.59,636.01,1,36160.53,-14171.59,587.97
36260.53,-14171.59,636.01,1,36260.53,-14171.59,587.97
36360.53,-14171.59,636.01,1,36360.53,-14171.59,587.97
36460.53,-14171.59,636.01,1,36460.53,-14171.59,584.68
36560.53,-14171.59,636.01,1,36560.53,-14171.59,573.22
36660.53,-14171.59,636.01,1,36660.53,-14171.59,566.50
36760.53,-14171.59,636.01,1,36760.53,-14171.59,559.78
36860.53,-14171.59,636.01,1,36860.53,-14171.59,553.06
36960.53,-14171.59,636.01,1,36960.53,-14171.59,546.33
37060.53,-14171.59,636.01,1,37060.53,-14171.59,540.92
37160.53,-14171.59,636.01,1,37160.53,-14171.59,542.74
37260.53,-14171.59,636.01,1,37260.53,-14171.59,549.64
37360.53,-14171.59,636.01,1,37360.53,-14171.59,556.54
37460.53,-14171.59,636.01,1,37460.53,-14171.59,563.44
37560.53,-14171.59,636.01,1,37560.53,-14171.59,570.53
37660.53,-14171.59,636.01,1,37660.53,-14171.59,575.65
37760.53,-14171.59,636.01,1,37760.53,-14171.59,575.65
37860.53,-14171.59,636.01,1,37860.53,-14171.59,575.65
37960.53,-14171.59,636.01,1,37960.53,-14171.59,575.65
38060.53,-14171.59,636.01,1,38060.53,-14171.59,575.65
38160.53,-14171.59,636.01,1,38148.59,-14169.89,575.65
38260.53,-14171.59,636.01,1,38260.53,-14171.59,895.65
38360.53,-14171.59,636.01,1,38360.53,-14171.59,882.13
38460.53,-14171.59,636.01,1,38425.70,-14165.79,895.65
34460.53,-14071.59,636.01,1,34460.00,-14071.59,970.05
