n,epoch,t,level,x,y,z,yaw,viewTargetClass
1,1788334094,0,ProjectMain,18083.66,5609.22,-1550.51,-41.68,<none>
2,1788334095,1,ProjectMain,18168.94,5632.14,-1550.05,15.63,<none>
3,1788334096,2,ProjectMain,18509.35,5524.62,-1558.61,-31.61,<none>
4,1788334097,3,ProjectMain,18584.30,5514.69,-1576.46,4.58,<none>
5,1788334098,4,ProjectMain,19086.71,5618.93,-1628.50,24.00,<none>
6,1788334099,5,ProjectMain,19429.03,6022.71,-1718.72,37.55,<none>
7,1788334100,6,ProjectMain,19932.04,6218.26,-1783.72,15.22,<none>
8,1788334101,7,ProjectMain,20439.34,6200.39,-1901.05,-42.58,<none>
9,1788334102,8,ProjectMain,20702.05,5740.56,-1988.95,-72.40,<none>
10,1788334103,9,ProjectMain,21049.63,5319.25,-2019.71,-12.78,<none>
11,1788334104,10,ProjectMain,21213.55,5277.38,-2001.86,-31.29,<none>
12,1788334105,11,ProjectMain,21243.36,5260.44,-2003.90,-0.84,<none>
13,1788334106,12,ProjectMain,21286.02,5057.25,-2008.67,-79.67,<none>
14,1788334107,13,ProjectMain,21399.34,4735.57,-2050.37,-74.00,<none>
15,1788334108,14,ProjectMain,21530.06,4205.05,-2046.90,-81.33,<none>
16,1788334109,15,ProjectMain,21371.57,3695.18,-2081.59,-123.16,<none>
17,1788334110,16,ProjectMain,21255.30,3401.69,-2077.15,-75.32,<none>
18,1788334111,17,ProjectMain,21525.88,3387.42,-2071.69,3.96,<none>
19,1788334112,18,ProjectMain,21862.85,2907.58,-2195.09,-69.61,<none>
20,1788334113,19,ProjectMain,22105.20,2401.74,-2335.88,-67.06,<none>
21,1788334114,20,ProjectMain,22153.61,2307.91,-2342.80,-78.17,<none>
22,1788334115,21,ProjectMain,22084.60,2230.93,-2331.94,-123.30,<none>
23,1788334116,22,ProjectMain,21970.54,2090.14,-2268.31,-108.93,<none>
24,1788334117,23,ProjectMain,21791.75,1959.13,-2177.35,-153.59,<none>
25,1788334118,24,ProjectMain,21791.44,1958.41,-2177.08,-153.59,<none>
26,1788334119,25,ProjectMain,21791.44,1958.41,-2177.08,-153.59,<none>
